S0,K,T,r,sigma,M,N,method,price,delta,gamma,vega,vanna,volga,delta_analytical,gamma_analytical,vega_analytical,vanna_analytical,volga_analytical,delta_error_pct,gamma_error_pct,vega_error_pct,vanna_error_pct,volga_error_pct,time_ms,n_pde_solves,graph_nodes,graph_edges,graph_max_fan_in
100,100.0,1.0,0.05,0.15,51,50,Double-AAD,8.567005825509742,0.6580984392838478,0.024854115596486825,37.04914031945623,-0.6131282969929612,18.004538368553654,0.6584855148307418,0.024468791497288662,36.703187245932995,-0.6321104470132903,25.811176586376025,0.058782697291903774,1.5747573771302106,0.9425695681553319,3.00297995548395,30.245185420733467,47983.29901206307,3,33630,67066,2
100,100.0,1.0,0.05,0.15,51,50,Edge-Pushing,8.567005825509742,0.6580984392838478,0.024854115596486825,37.04914031945623,-0.6131282969929612,18.004538368553654,0.6584855148307418,0.024468791497288662,36.703187245932995,-0.6321104470132903,25.811176586376025,0.058782697291903774,1.5747573771302106,0.9425695681553319,3.00297995548395,30.245185420733467,47645.917704794556,1,33630,67066,2
100,100.0,1.0,0.05,0.2,51,50,Analytical,10.450583572185565,0.6368306511756191,0.018762017345846895,37.52403469169379,-0.28143026018770345,9.850059106569622,0.6368306511756191,0.018762017345846895,37.52403469169379,-0.28143026018770345,9.850059106569622,0.0,0.0,0.0,0.0,0.0,0.5764488596469164,0,0,0,0
100,100.0,1.0,0.05,0.2,51,50,Bumping,10.363666343075504,0.6345991723804478,0.01902233702100495,38.00366087020244,-0.26394018892375026,3.888222879879777,0.6368306511756191,0.018762017345846895,37.52403469169379,-0.28143026018770345,9.850059106569622,0.35040379904011487,1.3874823285763562,1.2781839225162384,6.2147088420015555,60.52589291280012,65.96917705610394,5,0,0,0
100,100.0,1.0,0.05,0.2,51,50,AAD+Bumping,10.436785190274172,0.6369638016419461,0.018892153566163472,37.65388366990917,-0.2785258944992375,7.151057465209476,0.6368306511756191,0.018762017345846895,37.52403469169379,-0.28143026018770345,9.850059106569622,0.02090830051618925,0.6936152862335111,0.3460421548009095,1.0320019199530526,27.4008674685009,3309.959928970784,5,33630,67066,2
100,100.0,1.0,0.05,0.2,51,50,Double-AAD,10.436785190274172,0.6369638016419461,0.01889215356612928,37.65388366990917,-0.27730992456753595,7.183405562895466,0.6368306511756191,0.018762017345846895,37.52403469169379,-0.28143026018770345,9.850059106569622,0.02090830051618925,0.6936152860512736,0.3460421548009095,1.4640698613643726,27.07246235604412,50137.82958406955,3,33630,67066,2
100,100.0,1.0,0.05,0.2,51,50,Edge-Pushing,10.436785190274172,0.6369638016419461,0.01889215356612928,37.65388366990917,-0.27730992456753595,7.183405562895466,0.6368306511756191,0.018762017345846895,37.52403469169379,-0.28143026018770345,9.850059106569622,0.02090830051618925,0.6936152860512736,0.3460421548009095,1.4640698613643726,27.07246235604412,50144.215194974095,1,33630,67066,2
100,100.0,1.0,0.05,0.3,51,50,Analytical,14.231254785985819,0.6242517279060125,0.012647764437231512,37.94329331169454,-0.021079607395385922,0.6675209008538876,0.6242517279060125,0.012647764437231512,37.94329331169454,-0.021079607395385922,0.6675209008538876,0.0,0.0,0.0,0.0,0.0,0.5200000014156103,0,0,0,0
100,100.0,1.0,0.05,0.3,51,50,Bumping,14.120443090919553,0.6157726430044904,0.011954497058873277,35.80006284353274,-0.27808114475569856,-77.03776839587562,0.6242517279060125,0.012647764437231512,37.94329331169454,-0.021079607395385922,0.6675209008538876,1.3582797647936449,5.481343219181467,5.648509344077493,1219.1950852773814,11640.877341418,146.39398781582713,5,0,0,0
100,100.0,1.0,0.05,0.3,51,50,AAD+Bumping,14.169295914596049,0.617601901399838,0.01191819693957541,35.66022462655264,-0.2752381912485058,-76.04957387527875,0.6242517279060125,0.012647764437231512,37.94329331169454,-0.021079607395385922,0.6675209008538876,1.0652475930632452,5.76835140531601,6.017054625140386,1205.7083373799085,11492.837853915395,3284.19756796211,5,33630,67066,2
100,100.0,1.0,0.05,0.3,51,50,Double-AAD,14.169295914596049,0.617601901399838,0.011918196939570736,35.66022462655264,-0.2735142753020463,-75.85978708011663,0.6242517279060125,0.012647764437231512,37.94329331169454,-0.021079607395385922,0.6675209008538876,1.0652475930632452,5.76835140535296,6.017054625140386,1197.5302156809396,11464.406265493317,52422.33578907326,3,33630,67066,2
100,100.0,1.0,0.05,0.3,51,50,Edge-Pushing,14.169295914596049,0.617601901399838,0.011918196939570736,35.66022462655264,-0.2735142753020463,-75.85978708011663,0.6242517279060125,0.012647764437231512,37.94329331169454,-0.021079607395385922,0.6675209008538876,1.0652475930632452,5.76835140535296,6.017054625140386,1197.5302156809396,11464.406265493317,52543.72016200796,1,33630,67066,2
105,100.0,0.5,0.05,0.15,51,50,Analytical,9.012580691611305,0.7729910302101862,0.02706521049076221,22.37954592454901,-1.2914331614681287,71.79156357228807,0.7729910302101862,0.02706521049076221,22.37954592454901,-1.2914331614681287,71.79156357228807,0.0,0.0,0.0,0.0,0.0,0.44861086644232273,0,0,0,0
105,100.0,0.5,0.05,0.15,51,50,Bumping,8.94772290873387,0.7948516277109994,0.025634688027002948,22.56726676336811,-1.373836439093018,75.14900639343125,0.7729910302101862,0.02706521049076221,22.37954592454901,-1.2914331614681287,71.79156357228807,2.8280531916222844,5.2854658723142895,0.8388053960164654,6.380762093116108,4.676653709822768,31.896471977233887,5,0,0,0
